TIME,FSP_X
0,-5.23982e-13
0.001,2.95385e-07
0.002,4.38257e-06
0.003,1.86322e-05
0.004,4.77423e-05
0.005,9.49488e-05
0.006,0.000149997
0.007,0.000190949
0.008,0.000220007
0.009,0.000248547
0.01,0.00027584
0.011,0.00030286
0.012,0.00033247
0.013,0.000362213
0.014,0.000390026
0.015,0.000420839
0.016,0.000450306
0.017,0.000475232
0.018,0.000505718
0.019,0.000537604
0.02,0.000568686
0.021,0.000605357
0.022,0.000642454
0.023,0.000684604
0.024,0.000733471
0.025,0.000783901
0.026,0.000897096
0.027,0.0011842
0.028,0.00132164
0.029,0.00141261
0.03,0.00155222
0.031,0.00173759
0.032,0.00196033
0.033,0.00226935
0.034,0.00284024
0.035,0.0036781
0.036,0.00434376
0.037,0.00502957
0.038,0.00565524
0.039,0.00644061
0.04,0.00732324
0.041,0.00792186
0.042,0.00878792
0.043,0.0097976
0.044,0.0108668
0.045,0.0119388
0.046,0.0128821
0.047,0.0137106
0.048,0.0153876
0.049,0.0172771
0.05,0.0184846
0.051,0.0197011
0.052,0.0208385
0.053,0.0218075
0.054,0.0227987
0.055,0.0240219
0.056,0.0251325
0.057,0.0260866
0.058,0.0269978
0.059,0.0278584
0.06,0.0286852
0.061,0.0294769
0.062,0.030217
0.063,0.0308756
0.064,0.0312911
0.065,0.0316183
0.066,0.032026
0.067,0.0324517
0.068,0.0328915
0.069,0.0332866
0.07,0.0336734
0.071,0.0340275
0.072,0.0349162
0.073,0.0360904
0.074,0.0371299
0.075,0.0377298
0.076,0.0379919
0.077,0.0382398
0.078,0.0385012
0.079,0.038759
0.08,0.0389817
0.081,0.039206
0.082,0.0393885
0.083,0.0393333
0.084,0.0387377
0.085,0.0381381
0.086,0.0374993
0.087,0.03745
0.088,0.0375623
0.089,0.0376755
0.09,0.039214
0.091,0.0417383
0.092,0.0442651
0.093,0.0452332
0.094,0.0456207
0.095,0.0460158
0.096,0.0463897
0.097,0.0466478
0.098,0.0469269
0.099,0.0472493
0.1,0.046865
0.101,0.0462108
0.102,0.045502
0.103,0.0449061
0.104,0.0443586
0.105,0.0445144
0.106,0.0446819
0.107,0.0448643
0.108,0.0450573
0.109,0.0452537
0.11,0.0454459
0.111,0.0456188
0.112,0.0459738
0.113,0.0473169
0.114,0.0486167
0.115,0.0498742
0.116,0.0510494
0.117,0.0520336
0.118,0.0525394
0.119,0.0528495
0.12,0.0531713
0.121,0.0533917
0.122,0.053577
0.123,0.0535004
0.124,0.0532205
0.125,0.0529549
0.126,0.0527626
0.127,0.0525633
0.128,0.052358
0.129,0.0522164
0.13,0.0522924
0.131,0.0524137
0.132,0.0525969
0.133,0.0527359
0.134,0.0527852
0.135,0.0529132
0.136,0.0531276
0.137,0.0533203
0.138,0.0534786
0.139,0.0535856
0.14,0.0535803
0.141,0.0535867
0.142,0.0535828
0.143,0.0535805
0.144,0.0535812
0.145,0.0535662
0.146,0.0535467
0.147,0.0536431
0.148,0.0537606
0.149,0.0538381
0.15,0.0539054
0.151,0.0539989
0.152,0.0540733
0.153,0.0541498
0.154,0.0542436
0.155,0.0543361
0.156,0.0544286
0.157,0.0549146
0.158,0.055232
0.159,0.0555374
0.16,0.056044
0.161,0.056417
0.162,0.056744
0.163,0.0571134
0.164,0.0574954
0.165,0.0577389
0.166,0.0579086
0.167,0.0580574
0.168,0.0582076
0.169,0.0584385
0.17,0.0586656
0.171,0.0588935
0.172,0.0590913
0.173,0.0592653
0.174,0.0594277
0.175,0.059635
0.176,0.059836
0.177,0.05987
0.178,0.0599071
0.179,0.0599403
0.18,0.0599773
0.181,0.0600194
0.182,0.0600468
0.183,0.0600635
0.184,0.060079
0.185,0.0601566
0.186,0.0602816
0.187,0.0603995
0.188,0.0604967
0.189,0.0605853
0.19,0.0606496
0.191,0.0606998
0.192,0.060775
0.193,0.0608563
0.194,0.0609079
0.195,0.0609624
0.196,0.0610355
0.197,0.0611051
0.198,0.0611376
0.199,0.0611096
0.2,0.0610748
0.201,0.0610618
0.202,0.0610751
0.203,0.0611173
0.204,0.0611622
0.205,0.061224
0.206,0.0612581
0.207,0.061248
0.208,0.0612827
0.209,0.061342
0.21,0.0613835
0.211,0.0614371
0.212,0.0614979
0.213,0.0615253
0.214,0.061563
0.215,0.0616288
0.216,0.061699
0.217,0.0617794
0.218,0.0618662
0.219,0.0619337
0.22,0.0619118
0.221,0.0619052
0.222,0.0619367
0.223,0.0619081
0.224,0.061907
0.225,0.0619831
