TIME,GPS_N,GPS_E,GPS_D
0,10.3708625067882,10.0952218550768,-50.3636059472515
2,10.241111580909,9.9432793303632,-49.4383526335613
4,10.5239638960762,10.1188414480652,-50.0018201334551
6,10.0279955572429,9.72822726331186,-50.1230816747059
8,10.0232188037116,9.90349441915675,-49.9784141156207
10,10.2639381666889,9.88747239490241,-50.0070067990141
12,9.99745586881184,13.7635154140053,-49.9233412301416
14,9.87002996476847,18.5139504079692,-49.8869446317615
16,10.2258420586509,20.0936958425382,-49.9097345746878
18,10.2258780712502,20.0379768005726,-50.0731297239119
20,9.93829746667001,20.2953659613438,-50.0305411330427
22,10.181068002134,20.1751350531825,-53.8704115247947
24,10.1568512726943,19.8466389360939,-58.6034205876269
26,10.0486017729737,20.1854792352038,-63.2669795094928
28,10.4632322200149,20.1707632899614,-68.1316446446584
30,10.1540760443197,20.0931006076,-73.0801027829146
32,12.0444626536254,14.7080250199665,-77.6780614738264
34,19.4685112149411,-0.486549831414522,-81.6276558670118
36,26.8468552875275,-14.1086580045417,-87.2143098816866
38,29.212874464773,-19.360171939344,-91.2908882122017
40,30.0000411514542,-19.6695644007578,-96.4433657625312
42,30.0481277091314,-20.4166025337268,-99.8414968993031
44,29.7138852909153,-20.092187981008,-100.229123388023
46,29.9917313945496,-19.6961176318969,-100.282018110711
48,30.4681681976875,-19.9829861434334,-100.121888068146
50,30.1522904034998,-19.6721608570132,-100.16760643281
