TIME,WBE_1,WBE_2,WBE_3,FSP_X,FSP_Y,FSP_Z
0,0.000280001,0.00363031529027675,0.000103242,-0.0163317,-0.0253994,-0.00542173
0.001,0.00014992,0.0107928136395865,-0.00142592,-0.0206839,0.0133598,-0.0233932
0.002,0.000956008,0.0176240601207682,-0.00668609,-0.00387375,0.0250649,-0.0350214
0.003,0.000444412,0.0235915202847128,-0.0139824,-0.0173882,0.0132185,-0.042587
0.004,8.20745e-05,0.0285240156822978,-0.0200502,-0.00948838,-0.00827898,-0.100575
0.005,-0.000665157,0.0328550011978961,-0.0274454,-0.0200511,0.0174798,-0.120241
0.006,-0.00131967,-0.00130416982156116,-0.0349447,-0.00174429,0.0111272,-0.136535
0.007,-0.00305803,-0.0400627370022054,-0.041336,0.00075259,-0.00641198,-0.187086
0.008,-0.005018,-0.0421037401184209,-0.048334,-0.0184865,0.0315456,-0.19918
0.009,-0.0086035,-0.0408428008145102,-0.053917,-0.0196052,0.0125876,-0.220733
0.01,-0.0110839,-0.0394407058086201,-0.0608436,-0.00308601,0.00707165,-0.260305
0.011,-0.01552,-0.0377640615819651,-0.0671157,-8.15545e-05,0.0134879,-0.299063
0.012,-0.020399,-0.0361201995012568,-0.0740777,-0.0218362,0.00388328,-0.298669
0.013,-0.025917,-0.0342528618643306,-0.0796896,-0.01534,0.00543384,-0.348446
0.014,-0.0319125,-0.0322599586260043,-0.085107,-0.0215551,-0.00648837,-0.34556
0.015,-0.0377101,-0.0300528744076915,-0.0917228,-0.0201309,0.0137001,-0.406287
0.016,-0.0442787,-0.0277887944623397,-0.0973012,-0.00963646,0.0162269,-0.419849
0.017,-0.0512366,-0.0253779971062802,-0.102786,-0.0160384,0.00254067,-0.437764
0.018,-0.058743,-0.0228788962181232,-0.107967,-0.0148663,0.0118688,-0.457692
0.019,-0.0670291,-0.02017045028652,-0.113008,-0.00672355,0.00483119,-0.456437
0.02,-0.076356,-0.017351443425016,-0.119009,-0.00917581,0.0243546,-0.500208
0.021,-0.084315,-0.0144363775275637,-0.122825,-0.0108104,0.00579285,-0.540528
0.022,-0.0942337,-0.0113803659277573,-0.127977,-0.0332695,0.0193748,-0.545843
0.023,-0.10391,-0.00825017309197729,-0.132921,-0.00563852,0.0120687,-0.579039
0.024,-0.113978,-0.00486366322877737,-0.137398,-0.0196611,-0.00258054,-0.60251
0.025,-0.125339,-0.00149643932805655,-0.140605,-0.0245507,0.007885,-0.622473
0.026,-0.135514,0.00212494290695046,-0.145199,-0.0199792,0.00369873,-0.635184
0.027,-0.147142,0.00574432891890364,-0.149539,-0.0202684,0.00276131,-0.68187
0.028,-0.158401,0.00976278152692687,-0.153523,-0.000273382,-0.0232209,-0.706934
0.029,-0.170705,0.0141072385241719,-0.157358,-0.00378407,-0.000728304,-0.769269
0.03,-0.183844,0.0205673862429404,-0.160912,-0.0184864,0.0155917,-0.820929
0.031,-0.196481,0.0301099370070231,-0.164499,-0.0156986,-0.00246293,-0.851362
0.032,-0.209675,0.0410401738719653,-0.168047,-0.03244,0.00139299,-0.922079
0.033,-0.222534,0.0515408676291242,-0.170934,-0.0350185,-0.00823377,-0.933873
0.034,-0.235783,0.0613494475031105,-0.173402,-0.038223,0.0014467,-0.989115
0.035,-0.249134,0.0705609582147601,-0.175196,1.38613e-05,2.73881e-05,-1.01902
0.036,-0.26231,0.0790376568104263,-0.178221,0.000616398,-0.00208567,-1.10035
0.037,-0.274942,0.0868407193981869,-0.180299,-0.0147092,0.00116265,-1.15933
0.038,-0.28679,0.0939112119825422,-0.18187,0.00160684,-0.01191,-1.23958
0.039,-0.299059,0.100508272344615,-0.184064,-0.0201266,0.00184895,-1.30922
0.04,-0.309915,0.106445686198949,-0.184958,-0.00330654,-0.00431732,-1.39219
0.041,-0.320077,0.112021508080746,-0.185792,-0.0195914,-0.017194,-1.45379
0.042,-0.329361,0.117051376103681,-0.186911,-0.0145475,0.00402837,-1.51624
0.043,-0.337761,0.121838168322899,-0.186359,-0.0128419,-0.0168139,-1.60121
0.044,-0.344599,0.126296378707376,-0.186397,-0.0108126,2.46257e-05,-1.65172
0.045,-0.349865,0.130389185637964,-0.187447,-0.00996048,0.00860798,-1.73241
0.046,-0.355686,0.134394212745402,-0.188105,-0.00144529,-0.0174889,-1.813
0.047,-0.360071,0.138065839670678,-0.187239,-0.00446104,-0.0184055,-1.83583
0.048,-0.363545,0.14170731140559,-0.187949,0.000352801,-0.00101781,-1.93516
0.049,-0.366715,0.14510536760175,-0.186689,-0.00951779,-0.00997866,-2.00327
0.05,-0.369046,0.148542345056483,-0.186412,-0.0109872,-0.0164537,-2.07255
0.051,-0.368916,0.151893103958825,-0.185762,-0.00253827,0.000682675,-2.15272
0.052,-0.367743,0.155202602489969,-0.184435,-0.00971636,-0.00864717,-2.21844
0.053,-0.366467,0.158591090560709,-0.182762,-0.00392807,-0.00211704,-2.25185
0.054,-0.365055,0.161917416275218,-0.181542,-0.00724265,-0.0141805,-2.35725
0.055,-0.362599,0.165341587133378,-0.180353,-0.000531265,-0.0116063,-2.42606
0.056,-0.359799,0.16883567860489,-0.178706,0.0131307,-0.0212521,-2.51156
0.057,-0.356109,0.172355505788255,-0.176189,-0.00268714,-0.0132124,-2.5816
0.058,-0.351774,0.176028036657039,-0.174857,-0.00320996,-0.0147572,-2.64833
0.059,-0.347826,0.179700764200978,-0.173166,0.0248684,-0.00533478,-2.75027
0.06,-0.342202,0.183505354203634,-0.171914,0.000517996,-0.0123998,-2.80452
0.061,-0.336151,0.187373392105492,-0.168954,0.0258751,-0.0205308,-2.85432
0.062,-0.330443,0.191520977857183,-0.16649,0.0283474,-0.00994102,-2.93479
0.063,-0.324848,0.195720453197839,-0.164776,0.00366368,-0.0203241,-3.00193
0.064,-0.318588,0.200194923953513,-0.161923,0.0259398,-0.0233054,-3.04394
0.065,-0.312186,0.204731134672006,-0.160264,0.0114492,-0.0154233,-3.08346
0.066,-0.305282,0.209494467241176,-0.15805,0.0201702,0.000621476,-3.15208
0.067,-0.299046,0.214371409420557,-0.156045,0.0176052,-0.024759,-3.20418
0.068,-0.292345,0.219427549899553,-0.155039,0.00908216,-0.018147,-3.29145
0.069,-0.28651,0.224614214392671,-0.153073,0.00407762,-0.0224542,-3.35495
0.07,-0.279582,0.230102718465223,-0.150939,0.00436283,-0.0312567,-3.40756
0.071,-0.273392,0.235541266983088,-0.148302,0.00575162,-0.0261761,-3.44369
0.072,-0.266828,0.241181152966309,-0.146333,0.00901321,-0.0143016,-3.48152
0.073,-0.260733,0.246920221247332,-0.144448,-0.00696073,-0.0356528,-3.54844
0.074,-0.253503,0.252788716840764,-0.142058,-0.00736884,-0.0248142,-3.62455
0.075,-0.246632,0.258881685148346,-0.139889,0.0177087,-0.0211564,-3.6636
0.076,-0.241019,0.265057840983932,-0.138274,0.0367493,-0.0346673,-3.72189
