TIME,TRUTH_N
0,10
0.001,10
0.002,10
0.003,10
0.004,10
0.005,10
0.006,10
0.007,10
0.008,10
0.009,10
0.01,10
0.011,10
0.012,10
0.013,10
0.014,10
0.015,10
0.016,10
0.017,10
0.018,10
0.019,10
0.02,10
0.021,10
0.022,10
0.023,10
0.024,10
0.025,10
0.026,10
0.027,10
0.028,10
0.029,10
0.03,10
0.031,10
0.032,10
0.033,10
0.034,10
0.035,10
0.036,10
0.037,10
0.038,10
0.039,10
0.04,10
0.041,10
0.042,10
0.043,10
0.044,10
0.045,10
0.046,10
0.047,10
0.048,10
0.049,10
0.05,10
0.051,10
0.052,10
0.053,10
0.054,10
0.055,10
0.056,10
0.057,10
0.058,10
0.059,10
0.06,10
0.061,10
0.062,10
0.063,10
0.064,10
0.065,10
0.066,10
0.067,10
0.068,10
0.069,10
0.07,10
0.071,10
0.072,10
0.073,10
0.074,10
0.075,10
0.076,10
0.077,10
0.078,10
0.079,10
0.08,10
0.081,10
0.082,10
0.083,10
0.084,10
0.085,10
0.086,10
0.087,10
0.088,10
0.089,10
0.09,10
0.091,10
0.092,10
0.093,10
0.094,10
0.095,10
0.096,10
0.097,10
0.098,10
0.099,10
0.1,10
0.101,10
0.102,10
0.103,10
0.104,10
0.105,10
0.106,10
0.107,10
0.108,10
0.109,10
0.11,10
0.111,10
0.112,10
0.113,10
0.114,10
0.115,10
0.116,10
0.117,10
0.118,10
0.119,10
0.12,10
0.121,10
0.122,10
0.123,10
0.124,10
0.125,10
0.126,10
0.127,10
0.128,10
0.129,10
0.13,10
0.131,10
0.132,9.99999
0.133,9.99999
0.134,9.99999
0.135,9.99998
0.136,9.99998
0.137,9.99998
0.138,9.99997
0.139,9.99997
0.14,9.99997
0.141,9.99996
0.142,9.99996
0.143,9.99995
0.144,9.99995
0.145,9.99994
0.146,9.99994
0.147,9.99993
0.148,9.99992
0.149,9.99992
0.15,9.99991
0.151,9.9999
0.152,9.9999
0.153,9.99989
0.154,9.99988
0.155,9.99988
0.156,9.99987
0.157,9.99986
0.158,9.99985
0.159,9.99984
0.16,9.99983
0.161,9.99982
0.162,9.99981
0.163,9.9998
0.164,9.99979
0.165,9.99978
0.166,9.99977
0.167,9.99976
0.168,9.99974
0.169,9.99973
0.17,9.99972
0.171,9.99971
0.172,9.99969
0.173,9.99968
0.174,9.99966
0.175,9.99965
0.176,9.99963
0.177,9.99962
0.178,9.9996
0.179,9.99958
0.18,9.99957
0.181,9.99955
0.182,9.99953
0.183,9.99951
0.184,9.99949
0.185,9.99948
0.186,9.99946
0.187,9.99944
0.188,9.99941
0.189,9.99939
0.19,9.99937
0.191,9.99935
0.192,9.99933
0.193,9.9993
0.194,9.99928
0.195,9.99925
0.196,9.99923
0.197,9.9992
0.198,9.99918
0.199,9.99915
0.2,9.99912
0.201,9.99909
0.202,9.99907
0.203,9.99904
0.204,9.99901
0.205,9.99898
0.206,9.99895
0.207,9.99892
0.208,9.99888
0.209,9.99885
0.21,9.99882
0.211,9.99878
0.212,9.99875
0.213,9.99871
0.214,9.99868
0.215,9.99864
0.216,9.99861
0.217,9.99857
0.218,9.99853
0.219,9.99849
0.22,9.99845
0.221,9.99841
0.222,9.99837
0.223,9.99833
0.224,9.99829
0.225,9.99824
0.226,9.9982
0.227,9.99816
0.228,9.99811
0.229,9.99807
0.23,9.99802
0.231,9.99797
0.232,9.99793
0.233,9.99788
0.234,9.99783
0.235,9.99778
0.236,9.99773
0.237,9.99768
0.238,9.99763
0.239,9.99758
0.24,9.99753
0.241,9.99747
0.242,9.99742
0.243,9.99736
0.244,9.99731
0.245,9.99725
0.246,9.9972
0.247,9.99714
0.248,9.99708
0.249,9.99702
0.25,9.99696
0.251,9.9969
0.252,9.99684
0.253,9.99678
0.254,9.99672
0.255,9.99666
0.256,9.99659
0.257,9.99653
0.258,9.99646
0.259,9.9964
0.26,9.99633
0.261,9.99627
0.262,9.9962
0.263,9.99613
0.264,9.99606
0.265,9.99599
0.266,9.99592
0.267,9.99585
0.268,9.99578
0.269,9.99571
0.27,9.99564
0.271,9.99556
0.272,9.99549
0.273,9.99541
0.274,9.99534
0.275,9.99526
0.276,9.99519
0.277,9.99511
0.278,9.99503
0.279,9.99495
0.28,9.99487
0.281,9.99479
0.282,9.99471
0.283,9.99463
0.284,9.99455
0.285,9.99447
0.286,9.99439
0.287,9.9943
0.288,9.99422
0.289,9.99414
0.29,9.99405
0.291,9.99397
0.292,9.99388
0.293,9.99379
0.294,9.99371
0.295,9.99362
0.296,9.99353
0.297,9.99344
0.298,9.99335
0.299,9.99326
0.3,9.99317
0.301,9.99308
0.302,9.99299
0.303,9.9929
0.304,9.99281
0.305,9.99271
0.306,9.99262
0.307,9.99252
0.308,9.99243
0.309,9.99234
0.31,9.99224
0.311,9.99214
0.312,9.99205
0.313,9.99195
0.314,9.99185
0.315,9.99176
0.316,9.99166
0.317,9.99156
0.318,9.99146
0.319,9.99136
0.32,9.99126
0.321,9.99116
0.322,9.99106
0.323,9.99096
0.324,9.99086
0.325,9.99076
0.326,9.99065
0.327,9.99055
0.328,9.99045
0.329,9.99035
0.33,9.99024
0.331,9.99014
0.332,9.99003
0.333,9.98993
0.334,9.98983
0.335,9.98972
0.336,9.98961
0.337,9.98951
0.338,9.9894
0.339,9.9893
0.34,9.98919
0.341,9.98908
0.342,9.98898
0.343,9.98887
0.344,9.98876
0.345,9.98865
0.346,9.98855
0.347,9.98844
0.348,9.98833
0.349,9.98822
0.35,9.98811
0.351,9.988
0.352,9.98789
0.353,9.98779
0.354,9.98768
0.355,9.98757
0.356,9.98746
0.357,9.98735
0.358,9.98724
0.359,9.98713
0.36,9.98702
0.361,9.98691
0.362,9.9868
0.363,9.98669
0.364,9.98658
0.365,9.98647
0.366,9.98636
0.367,9.98625
0.368,9.98614
0.369,9.98602
0.37,9.98591
0.371,9.9858
0.372,9.98569
0.373,9.98558
0.374,9.98547
0.375,9.98536
0.376,9.98525
0.377,9.98514
0.378,9.98503
0.379,9.98492
0.38,9.98481
0.381,9.9847
0.382,9.98459
0.383,9.98448
0.384,9.98437
0.385,9.98426
0.386,9.98415
0.387,9.98404
0.388,9.98393
0.389,9.98382
0.39,9.98372
0.391,9.98361
0.392,9.9835
0.393,9.98339
0.394,9.98328
0.395,9.98317
0.396,9.98307
0.397,9.98296
0.398,9.98285
0.399,9.98274
0.4,9.98264
0.401,9.98253
0.402,9.98243
0.403,9.98232
0.404,9.98221
0.405,9.98211
0.406,9.982
