TIME,TRUTH_N
0,10
0.005,10
0.01,10
0.015,10
0.02,10
0.025,10
0.03,10
0.035,10
0.04,10
0.045,10
0.05,10
0.055,10
0.06,10
0.065,10
0.07,10
0.075,10
0.08,10
0.085,10
0.09,10
0.095,10
0.1,10
0.105,9.99999
0.11,9.99998
0.115,9.99997
0.12,9.99996
0.125,9.99994
0.13,9.99992
0.135,9.99989
0.14,9.99985
0.145,9.99981
0.15,9.99976
0.155,9.9997
0.16,9.99964
0.165,9.99956
0.17,9.99947
0.175,9.99937
0.18,9.99926
0.185,9.99913
0.19,9.99899
0.195,9.99883
0.2,9.99866
0.205,9.99847
0.21,9.99827
0.215,9.99805
0.22,9.99781
0.225,9.99755
0.23,9.99728
0.235,9.99699
0.24,9.99668
0.245,9.99635
0.25,9.996
0.255,9.99564
0.26,9.99526
0.265,9.99486
0.27,9.99444
0.275,9.99401
0.28,9.99356
0.285,9.9931
0.29,9.99262
0.295,9.99212
0.3,9.99161
0.305,9.99109
0.31,9.99056
0.315,9.99002
0.32,9.98946
0.325,9.9889
0.33,9.98833
0.335,9.98775
0.34,9.98717
0.345,9.98658
0.35,9.98598
0.355,9.98539
0.36,9.98479
0.365,9.98419
0.37,9.98359
0.375,9.983
0.38,9.9824
0.385,9.98181
0.39,9.98123
0.395,9.98065
0.4,9.98008
0.405,9.97952
0.41,9.97897
0.415,9.97843
0.42,9.9779
0.425,9.97738
0.43,9.97688
0.435,9.97639
0.44,9.97592
0.445,9.97547
0.45,9.97503
0.455,9.97461
0.46,9.97421
0.465,9.97384
0.47,9.97348
0.475,9.97314
0.48,9.97283
0.485,9.97254
0.49,9.97227
0.495,9.97202
0.5,9.9718
0.505,9.9716
0.51,9.97143
0.515,9.97128
0.52,9.97116
0.525,9.97106
0.53,9.97098
0.535,9.97092
0.54,9.97089
0.545,9.97089
0.55,9.9709
0.555,9.97094
0.56,9.971
0.565,9.97109
0.57,9.97119
0.575,9.97132
0.58,9.97146
0.585,9.97163
0.59,9.97182
0.595,9.97202
0.6,9.97224
0.605,9.97247
0.61,9.97273
0.615,9.97299
0.62,9.97327
0.625,9.97357
0.63,9.97387
0.635,9.97419
0.64,9.97452
0.645,9.97486
0.65,9.9752
0.655,9.97556
0.66,9.97592
0.665,9.97629
0.67,9.97666
0.675,9.97704
0.68,9.97743
0.685,9.97781
0.69,9.9782
0.695,9.97859
0.7,9.97899
0.705,9.97938
0.71,9.97978
0.715,9.98017
0.72,9.98056
0.725,9.98095
0.73,9.98134
0.735,9.98173
0.74,9.98211
0.745,9.98249
0.75,9.98286
0.755,9.98323
0.76,9.9836
0.765,9.98396
0.77,9.98431
0.775,9.98466
0.78,9.985
0.785,9.98533
0.79,9.98566
0.795,9.98597
0.8,9.98629
0.805,9.98659
0.81,9.98689
0.815,9.98717
0.82,9.98746
0.825,9.98773
0.83,9.98799
0.835,9.98825
0.84,9.9885
0.845,9.98874
0.85,9.98898
0.855,9.98921
0.86,9.98943
0.865,9.98965
0.87,9.98985
0.875,9.99006
0.88,9.99026
0.885,9.99045
0.89,9.99064
0.895,9.99082
0.9,9.991
0.905,9.99118
0.91,9.99135
0.915,9.99153
0.92,9.9917
0.925,9.99187
0.93,9.99204
0.935,9.99221
0.94,9.99238
0.945,9.99255
0.95,9.99273
0.955,9.99291
0.96,9.99309
0.965,9.99328
0.97,9.99347
0.975,9.99367
0.98,9.99388
0.985,9.99409
0.99,9.99432
0.995,9.99455
1,9.9948
1.005,9.99505
1.01,9.99532
1.015,9.9956
1.02,9.99589
1.025,9.99619
1.03,9.99651
1.035,9.99685
1.04,9.9972
1.045,9.99756
1.05,9.99794
1.055,9.99834
1.06,9.99876
1.065,9.9992
1.07,9.99965
1.075,10.0001
1.08,10.0006
1.085,10.0011
1.09,10.0016
1.095,10.0022
1.1,10.0028
1.105,10.0033
1.11,10.004
1.115,10.0046
1.12,10.0052
1.125,10.0059
1.13,10.0066
1.135,10.0073
1.14,10.008
1.145,10.0088
1.15,10.0095
1.155,10.0103
1.16,10.0111
1.165,10.0119
1.17,10.0128
1.175,10.0136
1.18,10.0145
1.185,10.0154
1.19,10.0163
1.195,10.0172
1.2,10.0181
1.205,10.0191
1.21,10.02
1.215,10.021
1.22,10.022
1.225,10.023
1.23,10.024
1.235,10.0251
1.24,10.0261
1.245,10.0272
1.25,10.0282
1.255,10.0293
1.26,10.0304
1.265,10.0315
1.27,10.0326
1.275,10.0337
1.28,10.0348
1.285,10.0359
1.29,10.037
1.295,10.0382
1.3,10.0393
1.305,10.0405
1.31,10.0416
1.315,10.0427
1.32,10.0439
1.325,10.0451
1.33,10.0462
1.335,10.0474
1.34,10.0485
1.345,10.0497
1.35,10.0509
1.355,10.052
1.36,10.0532
1.365,10.0544
1.37,10.0555
1.375,10.0567
1.38,10.0579
1.385,10.0591
1.39,10.0602
1.395,10.0614
1.4,10.0626
1.405,10.0637
1.41,10.0649
1.415,10.0661
1.42,10.0672
1.425,10.0684
1.43,10.0696
1.435,10.0707
1.44,10.0719
1.445,10.0731
1.45,10.0742
1.455,10.0754
1.46,10.0765
1.465,10.0777
1.47,10.0788
1.475,10.08
1.48,10.0812
1.485,10.0823
1.49,10.0835
1.495,10.0846
1.5,10.0858
1.505,10.0869
1.51,10.0881
1.515,10.0892
1.52,10.0904
1.525,10.0915
1.53,10.0927
1.535,10.0938
1.54,10.095
1.545,10.0961
1.55,10.0973
1.555,10.0984
1.56,10.0996
1.565,10.1007
1.57,10.1019
1.575,10.103
1.58,10.1042
1.585,10.1053
1.59,10.1065
1.595,10.1077
1.6,10.1088
1.605,10.11
1.61,10.1111
1.615,10.1123
1.62,10.1134
1.625,10.1146
1.63,10.1157
1.635,10.1169
1.64,10.1181
1.645,10.1192
1.65,10.1204
1.655,10.1215
1.66,10.1227
1.665,10.1239
1.67,10.125
1.675,10.1262
1.68,10.1273
1.685,10.1285
1.69,10.1296
1.695,10.1308
1.7,10.132
1.705,10.1331
1.71,10.1343
1.715,10.1354
1.72,10.1366
1.725,10.1377
1.73,10.1389
1.735,10.14
1.74,10.1412
1.745,10.1423
1.75,10.1435
1.755,10.1446
1.76,10.1458
1.765,10.1469
1.77,10.1481
1.775,10.1492
1.78,10.1503
1.785,10.1515
1.79,10.1526
1.795,10.1537
1.8,10.1548
1.805,10.156
1.81,10.1571
1.815,10.1582
1.82,10.1593
1.825,10.1604
1.83,10.1615
1.835,10.1626
1.84,10.1637
1.845,10.1648
1.85,10.1659
1.855,10.167
1.86,10.1681
1.865,10.1691
1.87,10.1702
1.875,10.1713
1.88,10.1724
1.885,10.1734
1.89,10.1745
1.895,10.1755
1.9,10.1766
1.905,10.1776
1.91,10.1786
1.915,10.1797
1.92,10.1807
1.925,10.1817
1.93,10.1827
1.935,10.1838
1.94,10.1848
1.945,10.1858
1.95,10.1868
1.955,10.1878
1.96,10.1888
1.965,10.1898
1.97,10.1907
1.975,10.1917
1.98,10.1927
1.985,10.1937
1.99,10.1946
1.995,10.1956
2,10.1965
2.005,10.1975
2.01,10.1984
2.015,10.1994
2.02,10.2003
2.025,10.2012
2.03,10.2022
2.035,10.2031
2.04,10.204
2.045,10.2049
2.05,10.2058
2.055,10.2068
2.06,10.2077
2.065,10.2086
2.07,10.2095
2.075,10.2103
2.08,10.2112
2.085,10.2121
2.09,10.213
2.095,10.2139
2.1,10.2147
2.105,10.2156
2.11,10.2165
2.115,10.2173
2.12,10.2182
2.125,10.219
2.13,10.2199
2.135,10.2207
2.14,10.2215
2.145,10.2224
2.15,10.2232
2.155,10.224
2.16,10.2248
2.165,10.2256
2.17,10.2265
2.175,10.2273
2.18,10.2281
2.185,10.2289
2.19,10.2296
2.195,10.2304
2.2,10.2312
2.205,10.232
2.21,10.2328
2.215,10.2335
2.22,10.2343
2.225,10.2351
2.23,10.2358
2.235,10.2366
2.24,10.2373
2.245,10.2381
2.25,10.2388
2.255,10.2395
2.26,10.2403
2.265,10.241
2.27,10.2417
2.275,10.2424
2.28,10.2431
2.285,10.2438
2.29,10.2445
2.295,10.2452
2.3,10.2459
2.305,10.2466
2.31,10.2473
2.315,10.2479
